PATIENTID,BIRTHDATE,,SSN,DRIVERS,,PREFIX,FIRST,LAST,,,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
00078573-afe8-4090-9c69-cca5c9cd810b,15/12/1967,,999-14-8170,S99918635,,Mrs.,Dixie181,Welch248,,,M,white,french,F,Gloucester MA US,37829 Coty Pine Haverhill MA 01830 US
000da23a-7b41-4a03-a3f2-ff49ea379c59,11/3/80,,999-67-2291,S99959862,,Ms.,Chin491,Bergstrom451,,,S,white,german,F,Newburyport MA US,26507 Kshlerin Knoll Worcester MA 01607 US
000f1b5b-95ac-493c-b22f-7df769821ba6,2/12/24,,999-73-1971,S99929650,,Mr.,Elbert922,Walsh907,,,S,hispanic,central_american,M,Boston MA US,22168 Schroeder Manor Everett MA 02149 US
000f4bea-757a-440d-a09d-efce7e34541f,30/07/1952,,999-96-7529,S99934791,,Mr.,Gale768,Sauer905,,,S,asian,chinese,M,Brookline MA US,67962 Cummerata Ramp Walpole MA 02081 US
0017fcbd-2953-4cd1-8afb-f4e0ccec657d,24/06/1985,,999-64-4711,S99933988,,Mrs.,Star826,Halvorson947,,,M,white,italian,F,Worcester MA US,941 Erdman Falls Apt. 607 Worcester MA 01607 US
0019cddf-beeb-41dd-8232-a5d5f2ca0429,24/05/1981,,999-65-1472,S99939674,,Mrs.,Kyoko951,D'Amore595,,,M,black,west_indian,F,Boston MA US,92461 Adrain Ranch Boston MA 02119 US
001b1d09-e8c6-4af3-bf2c-141946128bde,11/9/10,,999-68-4939,,,,Loma170,Herman600,,,,white,irish,F,Cummington MA US,36634 Waelchi Flat Springfield MA 01151 US
001f3d11-b863-41dd-baaa-a216bb589cb0,23/05/1945,,999-95-2674,S99989399,,Mrs.,Lucie157,Muller982,,,M,white,irish,F,North Andover MA US,97212 Muller Field Suite 983 Chelmsford MA 01824 US
001f817e-9b76-47f4-9ef5-c02f15daf4da,20/05/1952,,999-17-3403,S99966486,,Mr.,Theodore985,Blanda239,,,M,white,portuguese,M,South Hadley MA US,57929 Roselyn Walk Peabody MA 01961 US
00237f48-6a3a-48fa-888d-29fd0c99bdf7,4/6/09,,999-79-1433,,,,Nova703,Crist480,,,,white,italian,F,Boston MA US,4752 Schmeler Way Greenfield Town MA 01301 US
002434ff-e4db-4cb5-be1d-35fafb870512,14/10/1994,,999-79-7007,S99955407,,Mr.,Wallace124,Mosciski859,,,,white,english,M,Springfield MA US,247 Langosh Expressway Apt. 394 Westford MA 01886 US
00264000-8147-44f2-80ea-369b18f56091,12/6/13,,999-42-7449,,,,Danial669,Conn656,,,,white,italian,M,Sandwich MA US,414 Rippin Place Suite 350 Salem MA 01970 US
0026c0eb-7e0c-4748-b4b6-0c3e197cc5bc,10/6/40,,999-65-7397,S99989509,,Mrs.,Lonna641,O'Conner591,,,M,white,portuguese,F,Randolph MA US,2202 Mante Gardens Easthampton Town MA 01027 US
00276469-b7ab-4d4f-8fbb-9d196616b7f4,18/08/2016,,999-31-7327,,,,Rolando3,Mann333,,,,white,irish,M,Milford MA US,17799 Andy Knolls Canton MA 02021 US
0029ae87-c8da-4d19-b487-d4fe4b969ce0,26/05/2012,,999-69-3435,,,,Yessenia450,Hessel241,,,,white,american,F,Boston MA US,188 Schroeder Track Apt. 201 Peabody MA 01960 US
002a3463-9fe3-4423-9616-fda8e14c8e87,16/06/1976,,999-20-2818,S99992445,,Ms.,Sophia841,Rau79,,,S,black,african,F,Arlington MA US,713 Kayla Place Westborough MA 01581 US
002a4892-03a0-4bb6-9a7b-1b0643bf4e16,16/12/1976,,999-27-1871,S99923076,,Mrs.,Emily929,Labadie672,,,M,white,italian,F,Ludlow MA US,3656 Anne Crossroad Suite 347 Pittsfield MA 01202 US
002e6cec-2e81-4099-a368-25306f327c29,1/2/44,,999-41-9157,S99926771,,Mrs.,Arvilla857,Lowe146,,,M,white,german,F,Westwood MA US,592 Lambert Plains Avon MA 02322 US
00307f23-3bd8-4985-b7d8-14115f15fade,24/09/1951,,999-87-7916,S99923961,,Ms.,Vallie212,Abshire847,,,S,white,polish,F,Brewster MA US,482 Bednar Overpass Suite 650 Boston MA 02215 US
00360872-8f04-432e-b36e-a24819648d42,22/07/1961,,999-47-9198,S99965150,,Ms.,Loriann334,O'Reilly741,,,S,white,portuguese,F,Boston MA US,6871 Lew Key Chelsea MA 02150 US
003aadf9-b313-412e-ae19-f817d02bb408,19/12/1925,,999-20-6809,S99932255,,Mr.,Bennett881,Toy992,,,M,black,dominican,M,Lynn MA US,7699 Gleichner Center Suite 512 Attleboro MA 02703 US
003af3a3-2b4d-4971-97d2-fd95407ff54e,5/8/11,,999-21-6391,,,,Ginny516,VonRueden546,,,,white,french,F,Brookline MA US,7793 Brekke Way Dennis MA 02638 US
003cf93a-14ce-473a-8734-cc57c8f42cbd,24/08/1995,,999-13-3326,S99984898,,Ms.,Pamila698,Wiza81,,,,white,american,F,Shrewsbury MA US,3512 Lisette Lake Apt. 560 Stoneham MA 02180 US
00460e7b-6777-4acd-9d5e-a116094442bf,23/12/2002,,999-72-2990,,,,Lisha725,Ferry929,,,,white,american,F,Lawrence MA US,8766 Miller Shore Lowell MA 01853 US
0047a984-2d19-44af-8079-4732072efffb,5/10/68,,999-33-7214,S99919992,,Mr.,Tuan313,Corwin402,,,M,white,italian,M,Mansfield MA US,2833 Jena Isle Boston MA 02199 US
